Country,12.2.2 Consumption,9.c.1 3G Coverage,9.b.1 Proportion of Tech Value,9.5.1 research spending per GDP,9.4.1 CO2 Emission,9.2.2 percentage of manufacturing employment,9.2.1. Manufacutring add value,9.1.2 Transportation Volume,8.10.1 number of ATM,8.6.1 not in education or employment,8.4.1 material footprint,8.2.1 Annual growth per employee,8.1.1 Annual Growth Rate,4.b.1 Scholars,4.2.2 Organized Learning,4.1.1 Reading Proficiency,2.2.2 Malnutritiohn,2.1.2 Food insecurities,2.1.1 Undernourishment,Poverty Rate (Goal)
ZMB,630927381.7,53,21.08,?,3.6,?,139.35,10723273791,15.6,?,114730067.5,-0.6,-0.14,2.76,?,?,?,?,45.9,64.4
UGA,710392896,60,11.07,?,?,?,65.07,19448639917,7.34,?,202436246.1,1.2,2.22,5.63,?,?,?,?,39,64.1
NGA,3761042389,66.6,33.44,?,64.67,?,251.32,2.67E+11,21.62,?,881625626.8,-0.4,-0.02,5.14,?,?,7.2,73.5,7.9,62.8
SLE,285995541,20,?,?,?,?,9.75,2139994894,?,?,76601688.5,-22.9,-22.33,0.87,32.8,?,?,?,30.9,62.8
UZB,1589923233,32,?,0.21,97.35,?,341.85,26579405157,47.41,?,375231426.6,5.8,6.21,4.07,31.19,?,?,?,6.3,62.1
LSO,151479388,95.6,?,0.05,?,?,119.06,962241068.7,12.72,?,49780036.38,6.9,4.21,0.83,38.02,?,?,?,14.5,61.3
MMR,1049595132,79.3,6.63,?,24.74,10.87,268.96,17687396695,5.34,18.6,151484467.7,6.2,6.01,12.4,?,?,?,6.3,16.9,61
MLI,576581221.2,10,?,0.31,?,4.78,139.11,5278198972,10.5,24.9,157997637.1,4.4,4.5,3.45,43.44,?,13.5,?,4,60.9
PRK,578349413,?,?,?,27.25,?,138.08,?,?,?,50280829.69,-1.5,-1.64,0.88,?,?,?,?,40.8,60.8
BFA,438834094.9,10,?,0.22,?,?,44.18,8632431177,6.37,?,138083482.6,0.6,0.88,1.32,9.41,?,?,57.3,20.2,57.3
BEN,321244701.8,45,?,?,5.9,?,121.53,4909453416,8.25,?,91416183.82,-1,2.13,1.94,?,?,?,?,10.3,56.9
TGO,176790097,50,?,?,2.68,?,51.53,2827015465,5.21,?,37690876.95,2.5,3.06,1.66,?,?,?,97.2,11.5,55.6
COG,105770344.1,50,2.42,?,2.97,?,121.86,13338135404,11.2,?,22186246.13,0.3,0.09,3.85,?,?,8.2,?,28.2,51.6
SEN,292121052.7,40,21.65,?,7.46,6.15,141.69,11390173966,10.26,36.2,73229527.53,1.5,3.71,5.95,17.42,?,7.8,?,11.3,51.1
SWZ,75833441.61,21,1.65,?,?,?,1393.14,733989944.7,37.81,?,25734521.22,-1.7,2.31,1.04,?,?,?,?,19.6,48.4
HTI,80699467.61,50,5.26,?,4.13,?,86.8,4751451118,3.95,?,23602881.49,-1,-0.1,3.48,?,?,?,?,46.8,48.3
GMB,29543616.39,86,3.9,?,?,?,30.91,1415916598,9.03,?,9368361.26,1.4,1.19,0.99,?,?,?,?,10.9,47.1
TLS,58850071.96,96,?,?,?,?,6.06,219379400.4,12.09,?,?,2.3,18.14,7.97,59.26,?,?,?,26.9,47
NPL,635369083.2,50,8.6,?,7.59,?,46.08,6662988232,17.71,?,149778946.7,0.3,2.12,6.52,80.47,?,?,?,8.1,46.1
SLB,23513296.41,11.5,?,?,?,?,113.82,448007273.6,15.49,?,?,1.3,-0.26,6.07,65.39,?,7.9,?,13.9,45.6
PNG,489343565.6,60,12.61,?,?,?,55.8,7516790443,10.16,?,41666226.56,39.1,4.41,27.54,?,?,?,?,17.5,45.5
IDN,10015652541,60,35.08,?,442.49,13.71,842.8,6.88E+11,71.07,22.9,3088926315,5.8,3.64,65.85,?,44.62,?,?,7.9,43.1
MDA,176762171.6,99,18.76,0.37,8.96,9.62,224.55,10650038188,42.5,27.8,7816243.37,-6.9,-0.33,19.75,95.5,54.21,?,?,8.5,43.1
KEN,906789548.8,69,13.07,?,14.88,?,124.98,22394960361,15.46,?,282138015.4,2.4,3,7.93,?,?,?,?,19.1,42.8
ETH,1763058911,71,16.08,?,11.9,?,26.33,43864563954,?,?,?,6.9,7.62,7.01,38,?,?,?,28.8,42.8
SSD,59288540.66,20,?,?,1.12,?,?,?,2.4,?,175095712.5,-9.6,1.95,0.49,18.89,?,?,250.2,?,42.7
KGZ,288673175.9,59,4.13,0.12,12.27,7.39,150.52,2979820381,38.35,21.4,93530755.38,2.2,2.27,3.35,69.48,?,?,?,6.4,42.2
SOM,229463423.3,30,?,?,?,?,4.02,229840000,?,?,70345377.22,0.3,-0.31,0.29,?,?,?,?,?,41.2
ERI,97714489.4,92,7.58,?,0.68,?,39.3,1646683267,?,?,39297156.89,2.5,2.59,0.08,16.2,?,?,?,?,40.1
KHM,455183321.7,70,0.26,0.12,8.25,?,185.54,9362793317,19.47,?,104001171.2,5.2,5.33,13.17,?,?,?,43.8,15.3,39.1
CHN,1.99E+11,95,41.38,2.06,9042.2,?,2048.16,1.18E+13,85.28,?,51607888043,6.9,6.37,17.51,?,78.11,?,?,9.6,38.3
IND,42074345091,74,37.91,0.62,2067.72,?,300.01,1.70E+13,33.25,?,11633852314,6.2,6.76,15.47,?,?,21,?,14.5,38.2
VNM,5691782451,70,40.36,0.44,170.75,15.69,269.53,1.04E+11,27.81,?,1731199220,5.8,5.51,44.75,98.74,86.16,6.4,7.8,10.7,38
BTN,52594069.13,80,?,?,?,6.48,225.81,3026257877,41.82,?,15904748.19,0.6,5.12,6.07,?,?,?,?,?,35.2
CIV,410324207.8,45.75,14.99,?,10.19,?,171.52,12621951879,11.76,?,44221479.21,6.9,6.44,4.07,?,?,?,?,15.4,35
BOL,596534135.8,27,11.67,?,19.22,10.47,269.61,41113810726,53.62,14.6,86311991.41,10.3,3.27,1.17,86.11,?,?,?,20.2,33.8
CPV,20990352.76,86.8,27.1,?,?,?,201.66,717767981.4,79.88,?,8569578.66,-1.2,-0.22,1.51,76.13,?,?,?,13.7,33.7
AGO,807738109,100,3.89,?,20.77,?,274.94,68891214902,29.27,?,180696882.2,-0.6,-2.47,1.83,?,?,?,?,14,33.5
NAM,143411223.5,37,7.35,?,3.98,?,554.95,9759037932,68.8,?,35093194.83,3.7,3.61,1.31,?,?,?,?,28.8,33.4
ZAF,3691860607,98,24.43,?,429.17,11.2,949.98,5.30E+11,79.82,30.5,937768579.2,-2.3,-0.08,8.3,?,?,?,?,4.6,32.6
STP,3848329.74,2,?,?,?,?,99.71,152548877.6,56.97,?,2437400.27,1.2,1.56,0.48,54.01,?,?,?,13.5,32.3
HND,213553327,83.12,7.16,0.02,9.78,14.95,351.95,26349300591,42.8,27,60671057,-3.4,1.89,0.88,76.17,?,?,?,14.8,31.3
TJK,165581905.6,60,2.49,0.11,4.52,?,86.31,3153779099,?,?,60807138.17,3.5,3.66,1.97,11.2,?,?,9.9,30.1,30.8
ECU,760896519.6,91.86,10.27,?,38.19,11,657.26,1.27E+11,65.54,19.8,309141654.7,-5.2,-1.34,2.29,98.74,?,?,19.8,12.1,30.2
BWA,381991915,92,16.51,?,7.36,?,470.77,33188362190,39.22,?,153179158.8,-4.1,-3.51,1.78,?,?,?,105,26,29.8
CMR,562563871.7,50,7.61,?,6.2,?,201.1,22513809280,?,?,87627030.05,2.7,2.9,8.28,51.76,?,?,82.8,7.9,29.3
PAK,5050107417,46,24.62,0.25,147.65,15.52,154.72,64018773985,18.79,30.4,1192135872,2.2,2.59,14.45,?,?,?,?,19.9,28.6
GHA,1070862472,80,0.8,?,14.94,14,91.02,13225549814,17.31,?,193752133.2,1.3,1.5,6.42,?,?,?,74.7,7.6,24.5
DJI,15636437.01,0,?,?,?,?,52.06,896251117.5,14.43,?,4336260.21,3.9,4.75,1.01,?,?,?,?,12.8,22.5
PER,2148496917,90.65,14.72,0.12,49.64,9.16,817.73,3.39E+11,127.37,18.5,548041010.4,3.1,1.92,3.65,99.37,46.01,0.8,?,7.9,22.4
PAN,161410589.8,79,6.19,?,11.81,?,609.88,1.09E+11,91.29,?,57822835.94,2.7,4.04,0.92,78.88,?,?,?,9.3,21.5
PHL,2382895152,78,45.95,?,104.23,?,608.43,1.34E+11,33.91,22.7,868392081.8,4.3,4.38,14.37,84.59,?,7.1,?,13.8,21.2
YEM,361380310.3,80,2.06,?,12,?,68.46,8389990053,7.87,?,61377843.17,-31.8,-30.97,1.65,?,?,?,37.8,28.8,21.1
GEO,149436800.2,99,15.71,0.32,9.53,?,407.47,7619000000,102.2,?,67713639.72,2.2,3.94,3.43,?,48.34,?,?,7,21
COL,1602015390,100,20.94,0.29,72.8,12.11,829.89,2.85E+11,56.49,21.7,906398801.3,0.9,2.12,7.26,?,57.15,?,?,7.1,20.2
MRT,174250271.2,30,?,?,?,?,113.47,3685879306,16.2,?,21001987.31,-1.9,0.18,1.2,?,?,14.8,?,5.3,20.1
VEN,1218881001,90,34.28,0.25,137.75,?,1557.87,3.46E+11,62.54,?,436758235.1,-6.9,-7.48,1.35,92.45,?,?,?,13,20
ARM,155217578.2,99.9,3.66,0.25,5.16,7.85,408.32,3175257623,83.96,35.6,44813216.93,5,2.86,3.53,?,?,?,8.1,4.4,19.3
COM,15060794.77,?,?,?,?,?,23.87,441710620.7,7.74,?,?,-2.1,-2.52,4.82,?,?,?,?,?,19.1
SLV,157155457.4,73.41,19.13,0.13,6.77,16.03,738.17,50663818278,47.26,29.9,65518486.16,1.5,1.79,0.92,83.67,?,?,36.9,12.3,17.8
EGY,4230554270,97.8,14.2,0.72,199.52,11.22,421.07,6.59E+11,17.98,27.6,879614802.9,4,4.08,13.55,?,?,?,?,4.5,16.8
NIC,189073536,75,?,0.11,5.7,?,273.15,7301774719,26.44,?,45863535.65,2.5,3.68,0.83,?,?,?,?,17,16.5
FSM,1423117.89,?,?,?,?,?,?,63763072.45,29.05,?,?,?,4.51,0.19,76.42,?,?,?,?,16
SDN,1066839332,45.73,?,?,15.79,?,158.49,99264413692,8.11,?,191945519.8,2.3,2.43,2.49,?,?,?,?,25.6,14.9
MEX,5535257172,89,39.76,0.55,442.84,16.04,1640.28,1.50E+12,65.17,19.8,2101372018,-0.1,1.9,7.96,99.36,58.26,5.2,9.9,4.2,14.8
ARG,2757896576,90,26,0.63,192.15,?,1584.81,8.63E+11,73.72,?,966787814.4,1,1.62,3.68,99.37,58.25,?,?,3.6,14
PRY,307393181.8,66,21.92,0.13,5.85,12.42,432.71,27783368574,35.53,16.8,139003574.4,0.4,1.62,0.92,?,?,?,?,12,13.2
VUT,9564649.5,51,?,?,?,?,100.28,337870765.7,61.33,?,4117704.84,-3.6,-0.6,3.2,?,?,?,?,6.9,13.2
KIR,3989076.6,63,?,?,?,?,82.27,40972239.05,?,?,?,?,5.68,3.02,?,?,?,?,3.3,12.9
MKD,162752499.1,98.07,15.35,0.44,8.16,19.43,677.94,19851000000,85.36,24.7,?,1.5,3.77,1.71,44.44,29.32,?,?,3.9,12.2
IRQ,1362014995,55,7.24,0.04,134.71,?,103.07,67008540181,6.77,?,195657110.4,1.2,0.8,5.29,?,?,?,?,27.8,12.1
SYR,1095590993,70,21.52,?,30.49,?,57.38,44065797571,?,?,112841950.6,-11.8,-2.93,8.38,?,?,?,?,?,11.9
GTM,476899139.1,92,22.4,0.03,15.49,12.82,574.94,52397497867,68.94,26.5,107467839.8,1.4,2.03,1.09,80.26,?,4.7,33,15.6,11.7
BRA,14940440448,93.53,35.16,1.28,451.25,12.54,1376.81,1.71E+12,134.99,21.5,5210225728,-3.5,-4.59,14.31,92.68,48.89,?,0.9,?,11.6
MNG,492893993.5,95,6.66,0.15,19.03,7.06,230.38,17756985571,143.43,16.8,78653166.16,1.1,0.56,10.64,93.02,?,?,?,19.6,10.6
